Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Phone,Address,Password,Fee_Status,Borrowed_Books,Exam_Schedule,Timetable,Courses_Enrolled,Course_Materials,CGPA_Progress,Notifications
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70.0,85.54,67.58,77.77,44.900000000000006,93.14,79.98599999999999,C,7.9,Yes,Yes,High School,Low,4,8.2,07395376724,"39 Park Avenue, Birmingham",john803,Pending,"Statistics Fundamentals, Computer Networks","Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","3.14, 2.55, 3.86","New course material uploaded, Fee due next week"
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,87.9,64.57,80.18,82.8,66.17,77.6705,C,22.9,Yes,No,,Low,7,8.6,07238849696,"67 Queen Street, London",omar143,Pending,"Database Systems, Introduction to Python","Midterm - 2026-08-10, Practical - 2026-09-15, Final - 2026-11-20","Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math","3.17, 2.05","Attendance warning, Assignment deadline tomorrow"
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,97.23,83.43,67.3,21.3,54.02,70.909,C,26.2,No,No,,Medium,9,6.8,07532871012,"131 Main Road, London",john693,Pending,Database Systems,"Midterm - 2026-08-10, Final - 2026-11-20, Practical - 2026-09-15","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","2.67, 2.84",Assignment deadline tomorrow
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,87.73,91.41,50.94,41.4,51.36,66.7105,D,23.0,No,No,PhD,Medium,5,7.9,07269166978,"28 Church Lane, Manchester",john276,Paid,"Software Engineering, Algorithms Design","Midterm - 2026-08-10, Final - 2026-11-20","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.56, 3.68, 3.34","Assignment deadline tomorrow, New course material uploaded"
S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,94.98,64.46,59.6,51.08,52.8,55.5,63.7,D,27.8,No,Yes,Bachelor's,High,2,6.3,07480184514,"43 Queen Street, Manchester",liam569,Pending,"Statistics Fundamentals, Data Structures, Software Engineering","Practical - 2026-09-15, Final - 2026-11-20, Midterm - 2026-08-10","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","2.14, 2.64, 3.01",None
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,89.29,78.15,94.42,50.5,50.21,70.56700000000001,C,27.3,Yes,No,Bachelor's,Low,2,6.5,07627048281,"143 Church Lane, London",ahmed413,Pending,None,"Midterm - 2026-08-10, Final - 2026-11-20, Practical - 2026-09-15","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.54, 3.47, 2.9","Library book due, Fee due next week"
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,70.2,70.52,68.39,55.13,92.1,66.35,68.44149999999999,D,24.5,No,Yes,High School,High,8,6.7,07489325288,"143 Church Lane, Leeds",maria699,Pending,Data Structures,"Practical - 2026-09-15, Midterm - 2026-08-10, Final - 2026-11-20","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","3.52, 2.12",None
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,56.66,75.29,99.99,29.3,64.97,65.373,D,27.5,No,No,Bachelor's,Medium,8,7.4,07095701543,"115 Church Lane, Manchester",liam351,Paid,Data Structures,"Final - 2026-11-20, Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.71, 2.82, 2.84","Attendance warning, New course material uploaded"
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,79.77,58.18,81.04,58.22,5.699999999999999,55.52,61.4295,D,9.2,Yes,Yes,High School,High,8,7.3,07039117182,"35 Station Road, Manchester",liam801,Pending,Linear Algebra,Practical - 2026-09-15,"Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics",2.57,Exam schedule released
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,53.43,94.68,83.73,91.6,82.56,80.2355,B,23.3,No,Yes,Master's,Low,5,7.9,07278248963,"125 High Street, London",john680,Paid,Linear Algebra,"Final - 2026-11-20, Practical - 2026-09-15","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.65, 3.31, 3.91, 2.49",None
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,48.7,59.61,97.45,21.7,99.6,68.05599999999998,D,23.8,No,No,PhD,High,2,7.1,07834657871,"4 Oak Street, Bristol",emma947,Paid,"Algorithms Design, Software Engineering, Calculus Vol 1","Practical - 2026-09-15, Midterm - 2026-08-10, Final - 2026-11-20","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","3.4, 2.36",None
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,51.07,54.35,68.11,37.9,95.05,72.2395,C,8.8,No,No,,High,10,8.4,07331509839,"132 Oak Street, Bristol",ahmed145,Paid,None,"Final - 2026-11-20, Practical - 2026-09-15","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.83, 3.07",None
S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,40.24,43.79,81.36,86.72,53.1,62.64,59.3065,F,27.7,No,Yes,PhD,Low,8,7.5,07301031051,"131 Oak Street, Manchester",sara703,Pending,Algorithms Design,"Final - 2026-11-20, Midterm - 2026-08-10, Practical - 2026-09-15","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.78, 3.38, 2.71, 3.28","Library book due, Assignment deadline tomorrow"
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,61.85,93.31,69.71,67.54,97.6,88.5,81.2455,B,5.2,Yes,Yes,Bachelor's,Low,4,8.6,07834738299,"69 Oak Street, Leeds",liam628,Pending,Data Structures,Practical - 2026-09-15,"Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks",3.65,Assignment deadline tomorrow
S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,50.12,95.86,58.15,65.25,53.5,96.84,78.4575,C,15.9,No,Yes,,Low,9,7.8,07737631165,"56 Church Lane, London",maria194,Paid,"Statistics Fundamentals, Linear Algebra","Practical - 2026-09-15, Final - 2026-11-20, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.82, 2.58, 3.94, 2.34","Exam schedule released, Library book due"
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,75.21,55.85,60.09,44.8,95.32,76.841,C,5.5,No,No,PhD,Medium,10,7.7,07667010651,"88 Oak Street, Manchester",emma801,Paid,"Introduction to Python, Algorithms Design",Midterm - 2026-08-10,"Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math",3.75,"Library book due, Fee due next week"
S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,43.04,90.43,77.95,91.05,58.4,94.23,81.05000000000001,B,18.1,No,No,PhD,High,6,8.3,07333872624,"13 Mill Road, Liverpool",emma181,Paid,None,"Final - 2026-11-20, Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.82, 2.76, 3.13",Library book due
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,63.85,73.21,51.01,65.02,62.87,97.1,89.32,71.42499999999998,C,15.3,No,Yes,High School,High,10,7.3,07731781080,"57 Mill Road, Liverpool",sara246,Paid,None,Midterm - 2026-08-10,"Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.76, 3.22, 3.09",None
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,62.44,57.7,94.1,99.87,64.16,81.8,64.65,77.0615,C,20.6,Yes,No,Master's,Low,7,4.9,07132677360,"10 Park Avenue, Manchester",liam241,Pending,"Algorithms Design, Data Structures","Final - 2026-11-20, Practical - 2026-09-15","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.6, 2.1, 2.51",None
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.73,48.02,70.38,70.3,99.95,16.9,54.18,62.43699999999999,D,24.2,Yes,Yes,PhD,Low,3,4.4,07260647468,"61 Main Road, Manchester",maria138,Paid,Introduction to Python,"Final - 2026-11-20, Midterm - 2026-08-10","Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math","3.24, 3.73, 2.82, 2.73",None
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,59.64,86.31,44.03,60.61,66.37,80.3,74.39,66.0145,D,24.2,Yes,Yes,,Medium,2,5.6,07723430980,"106 Station Road, Sheffield",ahmed286,Paid,"Computer Networks, Linear Algebra","Final - 2026-11-20, Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.81, 3.28, 3.29, 2.29",None
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,78.74,53.05,48.48,81.44,71.14,84.1,52.74,59.4345,F,23.1,Yes,No,Master's,Low,2,8.1,07500978820,"108 Oak Street, Birmingham",ali869,Pending,"Linear Algebra, Operating Systems",Practical - 2026-09-15,"Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.12, 3.73, 3.32, 3.12",New course material uploaded
S1032,Maria,Smith,student32@university.com,Female,21,Business,66.41,53.42,58.54,62.21,99.5,69.1,99.92,75.3605,C,7.5,Yes,No,Master's,Medium,3,4.1,07812191361,"20 Park Avenue, Sheffield",maria175,Pending,"Statistics Fundamentals, Software Engineering","Midterm - 2026-08-10, Practical - 2026-09-15, Final - 2026-11-20","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics",3.91,None
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,91.02,56.5,42.61,74.7,68.47,65.7,67.92,60.840500000000006,D,15.4,No,No,,Medium,7,4.8,07939909169,"111 Queen Street, Liverpool",sara449,Pending,"Introduction to Python, Software Engineering, Operating Systems",Final - 2026-11-20,"Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.09, 2.01",Fee due next week
S1034,Emma,Davis,student34@university.com,Female,21,CS,59.2,75.21,58.56,74.13,68.31,44.1,97.92,75.453,C,25.4,No,Yes,Master's,Medium,8,4.5,07985435346,"67 Park Avenue, Manchester",emma771,Paid,"Computer Networks, Data Structures","Midterm - 2026-08-10, Practical - 2026-09-15","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.72, 2.98, 2.79, 3.09","Fee due next week, New course material uploaded"
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,73.23,79.58,43.6,72.68,91.39,64.2,88.66,72.686,C,21.4,No,No,Bachelor's,Low,4,4.2,07247510799,"39 Mill Road, Leeds",ahmed198,Pending,Statistics Fundamentals,"Final - 2026-11-20, Midterm - 2026-08-10","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks",3.92,"Attendance warning, Exam schedule released"
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,50.68,41.06,54.16,89.8,65.6,73.8,70.56,64.58699999999999,D,22.0,Yes,Yes,Master's,High,3,8.1,07118384251,"102 Park Avenue, London",maria241,Paid,"Statistics Fundamentals, Software Engineering","Practical - 2026-09-15, Midterm - 2026-08-10","Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math","3.65, 2.64, 3.1, 3.1",None
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,74.08,54.51,55.94,60.83,61.69,12.3,55.92,54.846,F,10.7,Yes,Yes,High School,Low,7,5.4,07354278498,"118 Church Lane, Sheffield",ali760,Paid,Algorithms Design,"Midterm - 2026-08-10, Final - 2026-11-20","Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math","2.34, 2.85",New course material uploaded
S1038,Ali,Williams,student38@university.com,Male,18,Business,52.79,65.86,99.66,95.22,71.16,25.7,61.86,76.036,C,13.1,Yes,No,Master's,High,3,7.6,07084124118,"150 Mill Road, Manchester",ali801,Pending,"Data Structures, Operating Systems",Midterm - 2026-08-10,"Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.95, 2.21, 3.95","Attendance warning, Exam schedule released"
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,98.89,59.92,54.13,89.57,85.03,19.4,83.65,70.524,C,28.9,No,No,PhD,Low,8,4.7,07244935348,"45 Station Road, London",john619,Pending,"Data Structures, Computer Networks",Final - 2026-11-20,"Mon: Calculus 10am, Tue: Algebra 1pm, Thu: Statistics 9am","Calculus, Linear Algebra, Statistics, Discrete Math","Calculus, Linear Algebra, Statistics, Discrete Math",3.44,"Assignment deadline tomorrow, Library book due"
S1040,John,Johnson,student40@university.com,Male,24,Business,89.53,93.05,54.35,66.66,52.16,84.1,91.5,74.41499999999999,C,26.2,Yes,No,Master's,Medium,4,6.0,07740164005,"149 Park Avenue, London",john462,Pending,None,"Practical - 2026-09-15, Midterm - 2026-08-10, Final - 2026-11-20","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.79, 2.16",None
S1041,Omar,Smith,student41@university.com,Male,23,CS,74.51,87.26,81.21,59.03,68.7,68.0,98.97,82.207,B,9.1,Yes,Yes,High School,High,8,4.6,07242786801,"63 High Street, Manchester",omar180,Paid,None,"Midterm - 2026-08-10, Practical - 2026-09-15","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","2.89, 2.36, 3.65, 2.01","New course material uploaded, Fee due next week"
S1042,Sara,Davis,student42@university.com,Male,20,CS,54.33,77.55,91.56,63.98,67.31,45.1,56.61,70.08850000000001,C,18.6,No,No,High School,Low,2,4.0,07128059826,"67 Station Road, Bristol",sara315,Pending,"Database Systems, Algorithms Design, Software Engineering",Practical - 2026-09-15,"Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","2.72, 2.95",Library book due
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,79.62,60.28,63.22,66.63,62.24,82.6,57.8,62.5355,D,17.3,Yes,Yes,Master's,Low,8,7.1,07204505331,"107 Mill Road, Newcastle",liam492,Paid,Database Systems,"Midterm - 2026-08-10, Practical - 2026-09-15","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.92, 3.54, 2.92",None
S1044,Maria,Smith,student44@university.com,Male,22,Business,87.94,82.04,92.54,77.85,82.71,71.7,52.12,74.6105,C,16.1,No,Yes,Bachelor's,High,8,6.4,07586923226,"31 Station Road, Liverpool",maria621,Pending,"Linear Algebra, Computer Networks","Final - 2026-11-20, Midterm - 2026-08-10","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.12, 2.52, 2.02, 2.82","Fee due next week, Library book due"
S1045,Maria,Brown,student45@university.com,Male,21,CS,59.54,90.62,60.41,52.32,64.5,91.4,63.02,66.46950000000001,D,16.8,Yes,Yes,Master's,Medium,10,6.1,07025634216,"91 Queen Street, Manchester",maria385,Paid,Computer Networks,Practical - 2026-09-15,"Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.12, 2.01, 2.79","Library book due, New course material uploaded"
S1046,Liam,Smith,student46@university.com,Male,24,CS,78.41,75.69,51.82,95.72,80.34,7.7,91.05,74.4005,C,21.1,Yes,No,,Medium,3,4.4,07073375433,"55 Oak Street, Sheffield",liam132,Pending,"Computer Networks, Algorithms Design, Data Structures",Final - 2026-11-20,"Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","3.66, 2.95, 2.66","Fee due next week, New course material uploaded"
S1047,Omar,Jones,student47@university.com,Female,23,Business,90.71,87.07,59.78,54.93,75.22,50.9,59.91,64.285,D,29.2,No,No,High School,High,2,6.9,07036541458,"148 Mill Road, London",omar432,Paid,Statistics Fundamentals,Final - 2026-11-20,"Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics","2.64, 2.36, 3.39",Exam schedule released
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,88.41,84.95,76.56,63.96,60.86,70.7,77.39,74.3145,C,26.9,No,No,Master's,Low,7,7.9,07685014294,"78 High Street, Liverpool",emma397,Pending,"Computer Networks, Operating Systems","Midterm - 2026-08-10, Practical - 2026-09-15, Final - 2026-11-20","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","2.79, 3.39, 2.66, 3.88",None
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,90.15,74.3,62.03,55.46,63.33,20.7,72.32,64.03549999999998,D,26.9,No,Yes,Bachelor's,Medium,9,4.3,07019655698,"75 Main Road, Liverpool",emma960,Pending,None,Final - 2026-11-20,"Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","2.92, 3.57, 3.19",None
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,93.97,58.73,80.37,62.83,58.53,32.7,66.29,65.70150000000001,D,22.6,Yes,Yes,Bachelor's,Low,10,6.1,07169340608,"70 Mill Road, London",omar210,Paid,"Introduction to Python, Operating Systems","Midterm - 2026-08-10, Final - 2026-11-20","Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials",3.23,"Assignment deadline tomorrow, Library book due"
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,96.88,84.75,54.22,91.88,52.83,41.900000000000006,80.92,71.70349999999999,C,5.4,No,Yes,Bachelor's,Medium,1,5.6,07835615951,"136 Station Road, Birmingham",emma832,Paid,Introduction to Python,Midterm - 2026-08-10,"Mon: Design 9am, Tue: Thermodynamics 11am, Thu: Workshop 2pm","Design, Thermodynamics, Fluid Mechanics, Materials","Design, Thermodynamics, Fluid Mechanics, Materials","3.65, 3.12, 2.56, 3.27",None
S1052,John,Brown,student52@university.com,Female,19,CS,70.28,52.41,82.06,80.76,80.96,79.4,75.12,75.0925,C,16.0,Yes,No,PhD,Low,5,8.5,07484656482,"145 Mill Road, Leeds",john497,Pending,None,"Final - 2026-11-20, Practical - 2026-09-15","Mon: Programming 9am, Wed: Data Structures 11am, Fri: Networks 2pm","Programming, Data Structures, Algorithms, Networks","Programming, Data Structures, Algorithms, Networks","2.53, 3.34, 2.42, 3.04","Fee due next week, Attendance warning"
S1053,Maria,Smith,student53@university.com,Female,23,Business,78.44,86.77,60.85,61.37,83.64,49.400000000000006,66.74,68.2895,D,17.8,No,No,PhD,Medium,3,5.3,07366299468,"34 Park Avenue, Leeds",maria785,Paid,"Calculus Vol 1, Linear Algebra, Database Systems","Midterm - 2026-08-10, Final - 2026-11-20, Practical - 2026-09-15","Mon: Marketing 10am, Wed: Finance 1pm, Fri: Management 9am","Marketing, Finance, Management, Economics","Marketing, Finance, Management, Economics",3.52,None
